last_scraped,name,description,neighborhood_overview,host_name,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,estimated_occupancy_l365d,first_review,last_review,instant_bookable,central,review_scores_rating
9406,50,316,128,6,4853,16,14,0.67,0.82,1,1,1,18,1,40.81896,-73.92782,27,12,2,1.0,14,1,1.0,572,136.0,2,30,179,6053,9257,0,6.62,4.83
9406,34,496,0,5,6038,0,0,,,0,1,1,18,1,40.69385,-73.97188,18,15,4,,6,1,,58,,30,32,0,6054,6316,0,7.37,5.0
9405,17,534,0,8,9116,0,14,1.0,1.0,0,2,2,9,0,40.63465868386114,-73.96262146660875,27,12,2,1.0,13,1,1.0,175,109.0,1,365,255,9193,9397,1,7.31,4.75
9406,37,258,0,6,8872,0,18,0.88,1.0,0,10,10,9,1,40.707847808956814,-73.9501900364454,27,12,2,,7,1,,450,,30,365,0,8988,8988,1,6.77,3.0
9406,26,209,374,7,6743,281,0,,,0,1,3,18,1,40.72776,-73.9501,25,12,4,,14,2,,342,,30,1125,0,6765,6765,0,7.52,5.0
9406,42,480,0,5,6407,282,0,,,0,1,2,18,1,40.776889,-73.95407999999999,18,15,3,,6,1,,661,,30,365,0,8278,8579,0,8.02,4.89
9406,44,370,0,10,6632,307,14,1.0,0.97,0,7,7,18,1,40.70843124001043,-74.00173084875955,13,12,9,2.0,7,3,3.0,659,713.0,3,365,51,9345,9389,1,7.54,5.0
9405,46,170,447,7,8003,0,0,,0.67,0,1,3,18,1,40.65884,-73.75586,11,15,6,2.0,7,3,3.0,810,220.0,30,365,0,8326,8973,0,6.96,4.96
9406,27,552,0,4,5168,45,0,,,0,1,2,18,1,40.79997,-73.96142,27,12,1,,13,1,,102,,30,1125,0,6587,6587,0,6.78,5.0
9406,27,230,0,9,5343,0,0,,,0,1,1,18,1,40.66552,-73.99477,27,12,1,,6,,,164,,30,1125,0,5645,5645,0,6.97,5.0
